les_diaboliques|Henri-Georges Clouzot|Drame, policier, thriller|1955-01-29|1 h 57 min|8.1|9698|113|9.7K|1.1K|6.1K|Dans une institution destinée à l'éducation des jeunes garçons, Christina et Nicole, respectivement épouse et maîtresse du directeur Michel Delasalle, s'associent afin d'assassiner l'homme qu'elles ont fini par haïr.
La_Parole|Carl Theodor Dreyer|Drame|1955-12-28|2 h 06 min|8.1|1620|29|1.6K|235|3.5K|Un des fils d'un patriarche protestant danois a sombré dans la folie mystique. Un beau jour, il disparaît puis ressurgit au milieu d'une tragédie familiale.
le_seigneur_des_anneaux_le_retour_du_roi|Peter Jackson|Aventure, fantasy|2003-12-17|3 h 21 min|8.1|104519|318|105K|6.5K|6.4K|La bataille pour la Terre du Milieu a commencé. Frodon et Sam, guidés par Gollum, poursuivent leur mission à travers les terres du Mordor pour détruire l'Anneau Unique. Tandis que le pouvoir de Sauron grandit, Aragorn, l'héritier du trône du Gondor, rassemble l'armée des Hommes contre les forces...
shining|Stanley Kubrick|Épouvante-Horreur, thriller|1980-10-16|1 h 59 min|8.1|104334|570|104K|6.4K|14K|Écrivain, Jack Torrance est engagé comme gardien, pendant tout l’hiver, d’un grand hôtel isolé du Colorado, l’Overlook, où il espère surmonter enfin sa panne d’inspiration. Il s’y installe avec sa femme Wendy et son fils Danny, doté d’un don de médium. Tandis que Jack n’avance pas dans son livre...
l_empire_contre_attaque|Irvin Kershner|Aventure, science-fiction, action|1980-08-20|2 h 04 min|8.1|75220|299|75K|5.2K|2.7K|Malgré la destruction de l'Etoile noire, l'Empire règne toujours sur la galaxie. Un groupe de l'Alliance rebelle, mené par la princesse Leia se réfugie sur la planète glacée de Hoth. Après avoir subi un assaut des troupes impériales, Leia, Han Solo, Chewbacca et C-3P0 parviennent à s'échapper et...
Alien_Le_8eme_Passager|Ridley Scott|Épouvante-Horreur, science-fiction|1979-09-12|1 h 57 min|8.1|59950|484|60K|5.2K|6.3K|En 2122, le vaisseau commercial Nostromo et son équipage en hibernation, font route vers la Terre avec une importante cargaison de minerai. Un signal, émanant d’une planète inconnue, les tire de leur sommeil artificiel. Intrigué, l’équipage se rend sur place et découvre les restes d'un gigantesque...
Le_Joli_Mai|Pierre Lhomme||1963-05-01|2 h 16 min|8.1|1465|25|1.5K|216|1.9K|« La scène se passe au mois de mai 1962 (juste après les accords d'Évian), désigné par certains, à l'époque, comme le premier printemps de la paix ». Au fil des rencontres, la caméra va montrer les Parisiens dans leur vie quotidienne, afin de composer un portrait politique, social et culturel de...
Eureka|Shinji Aoyama|Drame|2000-11-29|3 h 37 min|8.1|840|19|840|150|3.3K|2 ans après la prise en otage d'un bus ayant tourné au massacre, les 3 uniques survivants se retrouvent et emménagent ensemble sur le lieu du drame.
Vivre|Akira Kurosawa|Drame|1966-08-31|2 h 23 min|8.1|2202|36|2.2K|374|3.6K|Atteint d'un cancer, Watanabe, chef de service du génie civil, décide de réaliser le projet qu'il avait tout d'abord repoussé, celui d'assainir un terrain vague du quartier de Hureocho pour que les enfants puissent jouer dans un véritable jardin.
old_boy|Park Chan-Wook|Drame, thriller, film noir|2004-09-29|2 h|8.1|56825|445|57K|6.7K|14K|Après avoir été enlevé et emprisonné durant 15 ans, sans savoir pourquoi, Oh Dae-Su est libéré et recherche les raisons de son enfermement.
